Number,Category,Subcategory,Author_Last,Author_First,Title,Year,Publisher_Journal,Type,Commodity_Tag,Priority,Status,Acquisition_Notes,Anna_Archive_Link,Archive_Org_Link,Direct_URL,Search_Query
130,Cereals Grains,cbot_futures,Sanders,Dwight R.,A Speculative Bubble in Commodity Futures Prices? Cross-Sectional Evidence,2010,Ag Econ,ARTICLE,cereals,MEDIUM,NEEDED,With Irwin,https://annas-archive.org/search?q=Sanders+A+Speculative+Bubble+in+Commodity+Futures+Prices%3F+Cross-Sectional+Evidence,https://archive.org/search?query=Sanders+A+Speculative+Bubble+in+Commodity+Futures+Prices%3F+Cross-Sectional+Evidence,,Sanders A Speculative Bubble in Commodity Futures Prices? Cross-Sectional Evidence
131,Cereals Grains,yield_weather,Roberts,Michael J.,The Effect of the Price of Corn on Corn Yield,2013,Ag Econ,ARTICLE,cereals,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Roberts+The+Effect+of+the+Price+of+Corn+on+Corn+Yield,https://archive.org/search?query=Roberts+The+Effect+of+the+Price+of+Corn+on+Corn+Yield,,Roberts The Effect of the Price of Corn on Corn Yield
132,Cereals Grains,corn,Du,Xiaodong,Speculation and Volatility Spillover in the Crude Oil and Agricultural Commodity Markets,2011,Energy Econ,ARTICLE,cereals,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Du+Speculation+and+Volatility+Spillover+in+the+Crude+Oil+and+Agricultural+Commodity+Markets,https://archive.org/search?query=Du+Speculation+and+Volatility+Spillover+in+the+Crude+Oil+and+Agricultural+Commodity+Markets,,Du Speculation and Volatility Spillover in the Crude Oil and Agricultural Commodity Markets
133,Cereals Grains,rice,Headey,Derek,Rethinking the Global Food Crisis: The Role of Trade Shocks,2011,Food Policy,ARTICLE,cereals,HIGH,NEEDED,,https://annas-archive.org/search?q=Headey+Rethinking+the+Global+Food+Crisis%3A+The+Role+of+Trade+Shocks,https://archive.org/search?query=Headey+Rethinking+the+Global+Food+Crisis%3A+The+Role+of+Trade+Shocks,,Headey Rethinking the Global Food Crisis: The Role of Trade Shocks
134,Cereals Grains,wheat,Kornher,Lukas,Explaining Wheat Price Volatility in Global Markets,2019,Applied Econ Perspectives & Policy,ARTICLE,cereals,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Kornher+Explaining+Wheat+Price+Volatility+in+Global+Markets,https://archive.org/search?query=Kornher+Explaining+Wheat+Price+Volatility+in+Global+Markets,,Kornher Explaining Wheat Price Volatility in Global Markets
135,Cereals Grains,cbot_futures,Carlton,Dennis W.,"Futures Markets: Their Purpose, Their History, Their Growth",1984,Journal of Futures Markets,ARTICLE,cereals,LOW,NEEDED,,https://annas-archive.org/search?q=Carlton+Futures+Markets%3A+Their+Purpose%2C+Their+History%2C+Their+Growth,https://archive.org/search?query=Carlton+Futures+Markets%3A+Their+Purpose%2C+Their+History%2C+Their+Growth,,"Carlton Futures Markets: Their Purpose, Their History, Their Growth"
136,Meat Livestock,packer_concentration,MacDonald,James M.,Consolidation in U.S. Meatpacking,2000,USDA ERS AER-785,REPORT,meat,CRITICAL,NEEDED,Canonical packer-concentration study,https://annas-archive.org/search?q=MacDonald+Consolidation+in+U.S.+Meatpacking,https://archive.org/search?query=MacDonald+Consolidation+in+U.S.+Meatpacking,https://www.ers.usda.gov/publications/pub-details/?pubid=41108,MacDonald Consolidation in U.S. Meatpacking
137,Meat Livestock,packer_concentration,Wise,Timothy A.,Still Waiting for the Farm Boom,2014,Tufts GDAE,REPORT,meat,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Wise+Still+Waiting+for+the+Farm+Boom,https://archive.org/search?query=Wise+Still+Waiting+for+the+Farm+Boom,,Wise Still Waiting for the Farm Boom
138,Meat Livestock,packer_concentration,Crespi,John M.,"Packer Concentration, Captive Supplies, and the Meat Markets",2013,Ag Econ,ARTICLE,meat,HIGH,NEEDED,,https://annas-archive.org/search?q=Crespi+Packer+Concentration%2C+Captive+Supplies%2C+and+the+Meat+Markets,https://archive.org/search?query=Crespi+Packer+Concentration%2C+Captive+Supplies%2C+and+the+Meat+Markets,,"Crespi Packer Concentration, Captive Supplies, and the Meat Markets"
139,Meat Livestock,beef_cattle,Schroeder,Ted C.,Economic Impact of COVID-19 on the US Beef Industry,2020,Agribusiness,ARTICLE,meat,HIGH,NEEDED,,https://annas-archive.org/search?q=Schroeder+Economic+Impact+of+COVID-19+on+the+US+Beef+Industry,https://archive.org/search?query=Schroeder+Economic+Impact+of+COVID-19+on+the+US+Beef+Industry,,Schroeder Economic Impact of COVID-19 on the US Beef Industry
140,Meat Livestock,beef_cattle,Peel,Derrell S.,Cattle Market Outlook,2024,OSU Extension,REPORT,meat,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Peel+Cattle+Market+Outlook,https://archive.org/search?query=Peel+Cattle+Market+Outlook,,Peel Cattle Market Outlook
141,Meat Livestock,beef_cattle,Horowitz,Roger,"Putting Meat on the American Table: Taste, Technology, Transformation",2006,Johns Hopkins,BOOK,meat,HIGH,NEEDED,Meat industrialization history,https://annas-archive.org/search?q=Horowitz+Putting+Meat+on+the+American+Table%3A+Taste%2C+Technology%2C+Transformation,https://archive.org/search?query=Horowitz+Putting+Meat+on+the+American+Table%3A+Taste%2C+Technology%2C+Transformation,,"Horowitz Putting Meat on the American Table: Taste, Technology, Transformation"
142,Meat Livestock,pork,Plain,Ronald L.,Hog Market Volatility,2000,Review of Ag Econ,ARTICLE,meat,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Plain+Hog+Market+Volatility,https://archive.org/search?query=Plain+Hog+Market+Volatility,,Plain Hog Market Volatility
143,Meat Livestock,pork,Key,Nigel,Production Contracts and Productivity in the U.S. Hog Sector,2005,AJAE,ARTICLE,meat,MEDIUM,NEEDED,With McBride,https://annas-archive.org/search?q=Key+Production+Contracts+and+Productivity+in+the+U.S.+Hog+Sector,https://archive.org/search?query=Key+Production+Contracts+and+Productivity+in+the+U.S.+Hog+Sector,,Key Production Contracts and Productivity in the U.S. Hog Sector
144,Meat Livestock,poultry,Goodwin,Harold L.,The US Poultry Industry: A Success Story in Productivity Enhancement,2004,Choices Magazine,ARTICLE,meat,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Goodwin+The+US+Poultry+Industry%3A+A+Success+Story+in+Productivity+Enhancement,https://archive.org/search?query=Goodwin+The+US+Poultry+Industry%3A+A+Success+Story+in+Productivity+Enhancement,,Goodwin The US Poultry Industry: A Success Story in Productivity Enhancement
145,Meat Livestock,poultry,MacDonald,James M.,The Economic Organization of US Broiler Production,2008,USDA ERS EIB-38,REPORT,meat,HIGH,NEEDED,Vertical integration,https://annas-archive.org/search?q=MacDonald+The+Economic+Organization+of+US+Broiler+Production,https://archive.org/search?query=MacDonald+The+Economic+Organization+of+US+Broiler+Production,https://www.ers.usda.gov/publications/pub-details/?pubid=44237,MacDonald The Economic Organization of US Broiler Production
146,Meat Livestock,feed_costs,Marsh,John M.,Cross-Sector Relationships Between the Corn Feed Grains and Livestock and Poultry Economies,2007,Journal of Ag Applied Econ,ARTICLE,meat,HIGH,NEEDED,Feed-cost pass-through,https://annas-archive.org/search?q=Marsh+Cross-Sector+Relationships+Between+the+Corn+Feed+Grains+and+Livestock+and+Poultry+Economies,https://archive.org/search?query=Marsh+Cross-Sector+Relationships+Between+the+Corn+Feed+Grains+and+Livestock+and+Poultry+Economies,,Marsh Cross-Sector Relationships Between the Corn Feed Grains and Livestock and Poultry Economies
147,Meat Livestock,feed_costs,Pozo,Veronica F.,Dynamic Relationships in the Beef Market,2013,Ag Econ,ARTICLE,meat,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Pozo+Dynamic+Relationships+in+the+Beef+Market,https://archive.org/search?query=Pozo+Dynamic+Relationships+in+the+Beef+Market,,Pozo Dynamic Relationships in the Beef Market
148,Meat Livestock,livestock_policy,Hahn,William F.,Beef and Pork Values and Price Spreads Explained,2004,USDA ERS LDP-M-118-01,REPORT,meat,HIGH,NEEDED,Farm-to-retail margins,https://annas-archive.org/search?q=Hahn+Beef+and+Pork+Values+and+Price+Spreads+Explained,https://archive.org/search?query=Hahn+Beef+and+Pork+Values+and+Price+Spreads+Explained,https://www.ers.usda.gov/publications,Hahn Beef and Pork Values and Price Spreads Explained
149,Meat Livestock,livestock_policy,Mathews,Kenneth H.,"U.S. Beef Industry: Cattle Cycles, Price Spreads, and Packer Concentration",1999,USDA ERS TB-1874,REPORT,meat,HIGH,NEEDED,,https://annas-archive.org/search?q=Mathews+U.S.+Beef+Industry%3A+Cattle+Cycles%2C+Price+Spreads%2C+and+Packer+Concentration,https://archive.org/search?query=Mathews+U.S.+Beef+Industry%3A+Cattle+Cycles%2C+Price+Spreads%2C+and+Packer+Concentration,,"Mathews U.S. Beef Industry: Cattle Cycles, Price Spreads, and Packer Concentration"
150,Meat Livestock,livestock_policy,Lusk,Jayson L.,Animal Welfare Economics,2011,Applied Econ Perspectives & Policy,ARTICLE,meat,MEDIUM,NEEDED,With Norwood,https://annas-archive.org/search?q=Lusk+Animal+Welfare+Economics,https://archive.org/search?query=Lusk+Animal+Welfare+Economics,,Lusk Animal Welfare Economics
151,Meat Livestock,beef_cattle,USDA,,"Livestock, Dairy, and Poultry Outlook (monthly)",2024,USDA ERS,REPORT,multi,HIGH,NEEDED,LDP-M monthly,https://annas-archive.org/search?q=USDA+Livestock%2C+Dairy%2C+and+Poultry+Outlook+%28monthly%29,https://archive.org/search?query=USDA+Livestock%2C+Dairy%2C+and+Poultry+Outlook+%28monthly%29,https://www.ers.usda.gov/publications/periodicals/,"USDA Livestock, Dairy, and Poultry Outlook (monthly)"
152,Meat Livestock,packer_concentration,Azzam,Azzeddine M.,"Captive Supplies, Market Conduct, and the Open-Market Price",1998,AJAE,ARTICLE,meat,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Azzam+Captive+Supplies%2C+Market+Conduct%2C+and+the+Open-Market+Price,https://archive.org/search?query=Azzam+Captive+Supplies%2C+Market+Conduct%2C+and+the+Open-Market+Price,,"Azzam Captive Supplies, Market Conduct, and the Open-Market Price"
153,Meat Livestock,pork,Lawrence,John D.,Pork Industry Concentration,2006,Iowa State,REPORT,meat,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Lawrence+Pork+Industry+Concentration,https://archive.org/search?query=Lawrence+Pork+Industry+Concentration,,Lawrence Pork Industry Concentration
154,Meat Livestock,poultry,Ollinger,Michael,Structural Change in U.S. Chicken and Turkey Slaughter,2000,USDA ERS AER-787,REPORT,meat,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Ollinger+Structural+Change+in+U.S.+Chicken+and+Turkey+Slaughter,https://archive.org/search?query=Ollinger+Structural+Change+in+U.S.+Chicken+and+Turkey+Slaughter,,Ollinger Structural Change in U.S. Chicken and Turkey Slaughter
155,Meat Livestock,beef_cattle,Martin,Michael,A History of the Beef Industry,2015,TAMU,WORKING_PAPER,meat,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Martin+A+History+of+the+Beef+Industry,https://archive.org/search?query=Martin+A+History+of+the+Beef+Industry,,Martin A History of the Beef Industry
156,Meat Livestock,feed_costs,Tonsor,Glynn T.,Assessing Beef Demand Determinants,2015,K-State,REPORT,meat,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Tonsor+Assessing+Beef+Demand+Determinants,https://archive.org/search?query=Tonsor+Assessing+Beef+Demand+Determinants,,Tonsor Assessing Beef Demand Determinants
157,Meat Livestock,beef_cattle,Schroeder,Ted C.,Beef Demand Determinants,2000,Journal of Ag Applied Econ,ARTICLE,meat,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Schroeder+Beef+Demand+Determinants,https://archive.org/search?query=Schroeder+Beef+Demand+Determinants,,Schroeder Beef Demand Determinants
158,Meat Livestock,livestock_policy,Peel,Derrell S.,Beef Cattle Growing and Backgrounding Programs,2003,OSU,REPORT,meat,LOW,NEEDED,,https://annas-archive.org/search?q=Peel+Beef+Cattle+Growing+and+Backgrounding+Programs,https://archive.org/search?query=Peel+Beef+Cattle+Growing+and+Backgrounding+Programs,,Peel Beef Cattle Growing and Backgrounding Programs
159,Meat Livestock,packer_concentration,Saitone,Tina L.,An Empirical Investigation of Imperfect Competition in Commodity Procurement,2015,AJAE,ARTICLE,meat,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Saitone+An+Empirical+Investigation+of+Imperfect+Competition+in+Commodity+Procurement,https://archive.org/search?query=Saitone+An+Empirical+Investigation+of+Imperfect+Competition+in+Commodity+Procurement,,Saitone An Empirical Investigation of Imperfect Competition in Commodity Procurement
160,Meat Livestock,pork,Mayen,Carlos D.,The Impact of Avian Influenza on Egg and Poultry Prices,2009,J Ag Applied Econ,ARTICLE,meat,LOW,NEEDED,,https://annas-archive.org/search?q=Mayen+The+Impact+of+Avian+Influenza+on+Egg+and+Poultry+Prices,https://archive.org/search?query=Mayen+The+Impact+of+Avian+Influenza+on+Egg+and+Poultry+Prices,,Mayen The Impact of Avian Influenza on Egg and Poultry Prices
161,Meat Livestock,poultry,Muth,Mary K.,Industry Concentration in U.S. Meatpacking,2007,RTI,REPORT,meat,LOW,NEEDED,,https://annas-archive.org/search?q=Muth+Industry+Concentration+in+U.S.+Meatpacking,https://archive.org/search?query=Muth+Industry+Concentration+in+U.S.+Meatpacking,,Muth Industry Concentration in U.S. Meatpacking
162,Meat Livestock,beef_cattle,Rude,James,The Effects of Mandatory Country-of-Origin Labeling on Cattle and Beef Markets,2015,Ag Econ,ARTICLE,meat,LOW,NEEDED,COOL,https://annas-archive.org/search?q=Rude+The+Effects+of+Mandatory+Country-of-Origin+Labeling+on+Cattle+and+Beef+Markets,https://archive.org/search?query=Rude+The+Effects+of+Mandatory+Country-of-Origin+Labeling+on+Cattle+and+Beef+Markets,,Rude The Effects of Mandatory Country-of-Origin Labeling on Cattle and Beef Markets
163,Meat Livestock,feed_costs,Marsh,John M.,Derived Demand and Price Volatility in the Beef and Pork Sectors,1994,J Ag Resource Econ,ARTICLE,meat,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Marsh+Derived+Demand+and+Price+Volatility+in+the+Beef+and+Pork+Sectors,https://archive.org/search?query=Marsh+Derived+Demand+and+Price+Volatility+in+the+Beef+and+Pork+Sectors,,Marsh Derived Demand and Price Volatility in the Beef and Pork Sectors
164,Meat Livestock,livestock_policy,Kalaitzandonakes,Nicholas,Price Transmission Dynamics Between ADM and Nearby Illinois Markets for Corn,1999,J Agribusiness,ARTICLE,meat,LOW,NEEDED,,https://annas-archive.org/search?q=Kalaitzandonakes+Price+Transmission+Dynamics+Between+ADM+and+Nearby+Illinois+Markets+for+Corn,https://archive.org/search?query=Kalaitzandonakes+Price+Transmission+Dynamics+Between+ADM+and+Nearby+Illinois+Markets+for+Corn,,Kalaitzandonakes Price Transmission Dynamics Between ADM and Nearby Illinois Markets for Corn
165,Meat Livestock,beef_cattle,Elam,Emmett,Relationship of Cattle Futures Prices to Cash Prices,1988,J Futures Markets,ARTICLE,meat,LOW,NEEDED,,https://annas-archive.org/search?q=Elam+Relationship+of+Cattle+Futures+Prices+to+Cash+Prices,https://archive.org/search?query=Elam+Relationship+of+Cattle+Futures+Prices+to+Cash+Prices,,Elam Relationship of Cattle Futures Prices to Cash Prices
166,Dairy,us_dairy_policy,Bozic,Marin,Risk Management in the Dairy Sector,2013,U Minnesota,REPORT,dairy,HIGH,NEEDED,,https://annas-archive.org/search?q=Bozic+Risk+Management+in+the+Dairy+Sector,https://archive.org/search?query=Bozic+Risk+Management+in+the+Dairy+Sector,,Bozic Risk Management in the Dairy Sector
167,Dairy,us_dairy_policy,Novakovic,Andrew M.,The Economics of Milk Pricing,2005,Cornell,REPORT,dairy,HIGH,NEEDED,,https://annas-archive.org/search?q=Novakovic+The+Economics+of+Milk+Pricing,https://archive.org/search?query=Novakovic+The+Economics+of+Milk+Pricing,,Novakovic The Economics of Milk Pricing
168,Dairy,us_dairy_policy,Manchester,Alden C.,The Transformation of US Dairying in the 20th Century,1997,USDA ERS,REPORT,dairy,HIGH,NEEDED,,https://annas-archive.org/search?q=Manchester+The+Transformation+of+US+Dairying+in+the+20th+Century,https://archive.org/search?query=Manchester+The+Transformation+of+US+Dairying+in+the+20th+Century,,Manchester The Transformation of US Dairying in the 20th Century
169,Dairy,milk_markets,Chouinard,Hayley H.,Milk Marketing Order Winners and Losers,2010,Applied Econ Perspectives & Policy,ARTICLE,dairy,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Chouinard+Milk+Marketing+Order+Winners+and+Losers,https://archive.org/search?query=Chouinard+Milk+Marketing+Order+Winners+and+Losers,,Chouinard Milk Marketing Order Winners and Losers
170,Dairy,milk_markets,Cakir,Metin,Market Power in Federal Milk Marketing Orders,2014,Ag Econ,ARTICLE,dairy,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Cakir+Market+Power+in+Federal+Milk+Marketing+Orders,https://archive.org/search?query=Cakir+Market+Power+in+Federal+Milk+Marketing+Orders,,Cakir Market Power in Federal Milk Marketing Orders
171,Dairy,global_dairy,Cessna,Jerry,The Growth of New Zealand Dairy and Dairy Trade,2016,USDA ERS LDPM-264-01,REPORT,dairy,HIGH,NEEDED,,https://annas-archive.org/search?q=Cessna+The+Growth+of+New+Zealand+Dairy+and+Dairy+Trade,https://archive.org/search?query=Cessna+The+Growth+of+New+Zealand+Dairy+and+Dairy+Trade,https://www.ers.usda.gov/publications,Cessna The Growth of New Zealand Dairy and Dairy Trade
172,Dairy,global_dairy,OECD,,OECD-FAO Agricultural Outlook: Dairy Chapter,2024,OECD,REPORT,dairy,HIGH,NEEDED,Annual 10-year outlook,https://annas-archive.org/search?q=OECD+OECD-FAO+Agricultural+Outlook%3A+Dairy+Chapter,https://archive.org/search?query=OECD+OECD-FAO+Agricultural+Outlook%3A+Dairy+Chapter,https://www.oecd.org/agriculture/oecd-fao-agricultural-outlook/,OECD OECD-FAO Agricultural Outlook: Dairy Chapter
173,Dairy,cheese_butter,Cropp,Bob,A Century of Dairy Marketing in the US,2001,U Wisconsin,REPORT,dairy,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Cropp+A+Century+of+Dairy+Marketing+in+the+US,https://archive.org/search?query=Cropp+A+Century+of+Dairy+Marketing+in+the+US,,Cropp A Century of Dairy Marketing in the US
174,Dairy,us_dairy_policy,Stephenson,Mark W.,Dairy Margin Coverage Program Analysis,2019,Cornell,REPORT,dairy,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Stephenson+Dairy+Margin+Coverage+Program+Analysis,https://archive.org/search?query=Stephenson+Dairy+Margin+Coverage+Program+Analysis,,Stephenson Dairy Margin Coverage Program Analysis
175,Dairy,milk_markets,Nicholson,Charles F.,The World Dairy Situation,2018,Cornell,REPORT,dairy,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Nicholson+The+World+Dairy+Situation,https://archive.org/search?query=Nicholson+The+World+Dairy+Situation,,Nicholson The World Dairy Situation
176,Dairy,global_dairy,Zhou,Jehan,Factors Driving Changes in China's Dairy Industry,2018,China Ag Econ Review,ARTICLE,dairy,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Zhou+Factors+Driving+Changes+in+China%27s+Dairy+Industry,https://archive.org/search?query=Zhou+Factors+Driving+Changes+in+China%27s+Dairy+Industry,,Zhou Factors Driving Changes in China's Dairy Industry
177,Dairy,cheese_butter,Capps,Oral,Consumer Demand for Cheese and Butter,2014,J Ag Applied Econ,ARTICLE,dairy,LOW,NEEDED,,https://annas-archive.org/search?q=Capps+Consumer+Demand+for+Cheese+and+Butter,https://archive.org/search?query=Capps+Consumer+Demand+for+Cheese+and+Butter,,Capps Consumer Demand for Cheese and Butter
178,Dairy,us_dairy_policy,USDA,,Dairy Products Prices (NASS),2024,USDA NASS,DATASET_DOC,dairy,HIGH,NEEDED,Weekly dairy price survey docs,https://annas-archive.org/search?q=USDA+Dairy+Products+Prices+%28NASS%29,https://archive.org/search?query=USDA+Dairy+Products+Prices+%28NASS%29,https://www.nass.usda.gov/Publications/,USDA Dairy Products Prices (NASS)
179,Dairy,milk_markets,Balagtas,Joseph V.,Impacts of US Dairy Policy on Milk and Dairy Product Prices,2003,Purdue,WORKING_PAPER,dairy,LOW,NEEDED,,https://annas-archive.org/search?q=Balagtas+Impacts+of+US+Dairy+Policy+on+Milk+and+Dairy+Product+Prices,https://archive.org/search?query=Balagtas+Impacts+of+US+Dairy+Policy+on+Milk+and+Dairy+Product+Prices,,Balagtas Impacts of US Dairy Policy on Milk and Dairy Product Prices
180,Dairy,global_dairy,Fonterra,,Global Dairy Trade Methodology,2024,Fonterra,DATASET_DOC,dairy,MEDIUM,NEEDED,GDT auction methodology,https://annas-archive.org/search?q=Fonterra+Global+Dairy+Trade+Methodology,https://archive.org/search?query=Fonterra+Global+Dairy+Trade+Methodology,https://www.globaldairytrade.info/,Fonterra Global Dairy Trade Methodology
181,Dairy,us_dairy_policy,Sumner,Daniel A.,Economic Impacts of Elimination of US Dairy Price Supports,2003,J Dairy Science,ARTICLE,dairy,LOW,NEEDED,,https://annas-archive.org/search?q=Sumner+Economic+Impacts+of+Elimination+of+US+Dairy+Price+Supports,https://archive.org/search?query=Sumner+Economic+Impacts+of+Elimination+of+US+Dairy+Price+Supports,,Sumner Economic Impacts of Elimination of US Dairy Price Supports
182,Dairy,cheese_butter,Dhar,Tirtha P.,Market Structure and Pricing of Dairy Products in US,2003,AJAE,ARTICLE,dairy,LOW,NEEDED,,https://annas-archive.org/search?q=Dhar+Market+Structure+and+Pricing+of+Dairy+Products+in+US,https://archive.org/search?query=Dhar+Market+Structure+and+Pricing+of+Dairy+Products+in+US,,Dhar Market Structure and Pricing of Dairy Products in US
183,Dairy,milk_markets,Awokuse,Titus O.,"Price Volatility Spillovers in the Wheat, Corn, and Milk Markets",2013,Ag Resource Econ Review,ARTICLE,dairy,LOW,NEEDED,,https://annas-archive.org/search?q=Awokuse+Price+Volatility+Spillovers+in+the+Wheat%2C+Corn%2C+and+Milk+Markets,https://archive.org/search?query=Awokuse+Price+Volatility+Spillovers+in+the+Wheat%2C+Corn%2C+and+Milk+Markets,,"Awokuse Price Volatility Spillovers in the Wheat, Corn, and Milk Markets"
184,Dairy,us_dairy_policy,USDA,,Federal Milk Marketing Orders Statistics,2024,USDA AMS,DATASET_DOC,dairy,HIGH,NEEDED,,https://annas-archive.org/search?q=USDA+Federal+Milk+Marketing+Orders+Statistics,https://archive.org/search?query=USDA+Federal+Milk+Marketing+Orders+Statistics,https://www.ams.usda.gov/resources/marketing-order-statistics,USDA Federal Milk Marketing Orders Statistics
185,Dairy,global_dairy,IFCN,,IFCN Dairy Report 2024,2024,International Farm Comparison Network,REPORT,dairy,MEDIUM,NEEDED,Global dairy benchmark,https://annas-archive.org/search?q=IFCN+IFCN+Dairy+Report+2024,https://archive.org/search?query=IFCN+IFCN+Dairy+Report+2024,https://ifcndairy.org/,IFCN IFCN Dairy Report 2024
186,Oils Fats,palm_oil,Byerlee,Derek,The Tropical Oil Crop Revolution,2017,Oxford UP,BOOK,oils,CRITICAL,NEEDED,"With Falcon, Naylor",https://annas-archive.org/search?q=Byerlee+The+Tropical+Oil+Crop+Revolution,https://archive.org/search?query=Byerlee+The+Tropical+Oil+Crop+Revolution,,Byerlee The Tropical Oil Crop Revolution
187,Oils Fats,palm_oil,Corley,R. H. V.,The Oil Palm,2016,Wiley,BOOK,oils,HIGH,NEEDED,With Tinker; 5th ed,https://annas-archive.org/search?q=Corley+The+Oil+Palm,https://archive.org/search?query=Corley+The+Oil+Palm,,Corley The Oil Palm
188,Oils Fats,palm_oil,Rival,Alain,Palms of Controversies: Oil Palm and Development Challenges,2013,CIRAD,BOOK,oils,MEDIUM,NEEDED,With Levang,https://annas-archive.org/search?q=Rival+Palms+of+Controversies%3A+Oil+Palm+and+Development+Challenges,https://archive.org/search?query=Rival+Palms+of+Controversies%3A+Oil+Palm+and+Development+Challenges,,Rival Palms of Controversies: Oil Palm and Development Challenges
189,Oils Fats,soy_oil,Goldsmith,Peter D.,"Economics of Soybean Production, Marketing, and Utilization",2008,"in Soybeans: Chemistry, Production, Processing, and Utilization",CHAPTER,oils,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Goldsmith+Economics+of+Soybean+Production%2C+Marketing%2C+and+Utilization,https://archive.org/search?query=Goldsmith+Economics+of+Soybean+Production%2C+Marketing%2C+and+Utilization,,"Goldsmith Economics of Soybean Production, Marketing, and Utilization"
190,Oils Fats,soy_oil,Gallagher,Paul W.,A Reassessment of the Contribution of U.S. Corn Ethanol and Soybean Biodiesel,2019,Biofuels Bioproducts Biorefining,ARTICLE,oils,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Gallagher+A+Reassessment+of+the+Contribution+of+U.S.+Corn+Ethanol+and+Soybean+Biodiesel,https://archive.org/search?query=Gallagher+A+Reassessment+of+the+Contribution+of+U.S.+Corn+Ethanol+and+Soybean+Biodiesel,,Gallagher A Reassessment of the Contribution of U.S. Corn Ethanol and Soybean Biodiesel
191,Oils Fats,canola_sunflower,FAOSTAT,,Oilcrops Production and Trade Database Documentation,2024,FAO,DATASET_DOC,oils,MEDIUM,NEEDED,,https://annas-archive.org/search?q=FAOSTAT+Oilcrops+Production+and+Trade+Database+Documentation,https://archive.org/search?query=FAOSTAT+Oilcrops+Production+and+Trade+Database+Documentation,https://www.fao.org/faostat/,FAOSTAT Oilcrops Production and Trade Database Documentation
192,Oils Fats,olive_oil,Mili,Samir,The Olive Oil Sector: A Comparative Analysis of Spain and Italy,2006,New Medit,ARTICLE,oils,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Mili+The+Olive+Oil+Sector%3A+A+Comparative+Analysis+of+Spain+and+Italy,https://archive.org/search?query=Mili+The+Olive+Oil+Sector%3A+A+Comparative+Analysis+of+Spain+and+Italy,,Mili The Olive Oil Sector: A Comparative Analysis of Spain and Italy
193,Oils Fats,olive_oil,International Olive Council,,World Olive Oil Figures,2024,IOC,DATASET_DOC,oils,MEDIUM,NEEDED,,https://annas-archive.org/search?q=International+Olive+Council+World+Olive+Oil+Figures,https://archive.org/search?query=International+Olive+Council+World+Olive+Oil+Figures,https://www.internationaloliveoil.org/,International Olive Council World Olive Oil Figures
194,Oils Fats,tropical_cycles,Baffes,John,Oil Spills on Other Commodities,2007,World Bank WP 4333,WORKING_PAPER,multi,HIGH,NEEDED,Energy-food linkage,https://annas-archive.org/search?q=Baffes+Oil+Spills+on+Other+Commodities,https://archive.org/search?query=Baffes+Oil+Spills+on+Other+Commodities,,Baffes Oil Spills on Other Commodities
195,Oils Fats,palm_oil,Sayer,Jeffrey,Sustainable Production of Palm Oil for the 21st Century,2012,Environmental Research Letters,ARTICLE,oils,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Sayer+Sustainable+Production+of+Palm+Oil+for+the+21st+Century,https://archive.org/search?query=Sayer+Sustainable+Production+of+Palm+Oil+for+the+21st+Century,,Sayer Sustainable Production of Palm Oil for the 21st Century
196,Oils Fats,soy_oil,Masuda,Tadayoshi,"An Analysis of Rising Food Prices: Global Demand, Supply, and Production of Oilseeds",2009,Japanese J Rural Econ,ARTICLE,oils,LOW,NEEDED,,https://annas-archive.org/search?q=Masuda+An+Analysis+of+Rising+Food+Prices%3A+Global+Demand%2C+Supply%2C+and+Production+of+Oilseeds,https://archive.org/search?query=Masuda+An+Analysis+of+Rising+Food+Prices%3A+Global+Demand%2C+Supply%2C+and+Production+of+Oilseeds,,"Masuda An Analysis of Rising Food Prices: Global Demand, Supply, and Production of Oilseeds"
