Number,Category,Subcategory,Author_Last,Author_First,Title,Year,Publisher_Journal,Type,Commodity_Tag,Era,Geography,Borough,Sub_Industry,Adjacency,Language,Industry_Stakeholder,Cuisine,Beverage_Type,Priority,Status,Acquisition_Notes,Anna_Archive_Link,Archive_Org_Link,Direct_URL,Search_Query,NYC_Canonical,Added_In_Version
11,Ag Econ Foundations,futures_markets,Irwin,Scott H.,"Index Funds, Financialization, and Commodity Futures Markets",2011,Applied Econ Perspectives & Policy,ARTICLE,multi,2010_2020,US,none,none,none,en,academic,none,none,HIGH,NEEDED,With Sanders,https://annas-archive.org/search?q=Irwin+Index+Funds%2C+Financialization%2C+and+Commodity+Futures+Markets,https://archive.org/search?query=Irwin+Index+Funds%2C+Financialization%2C+and+Commodity+Futures+Markets,https://doi.org/10.1093/aepp/ppq032,"Irwin Index Funds, Financialization, and Commodity Futures Markets",False,v2
12,Ag Econ Foundations,futures_markets,Garcia,Philip,Estimated and Implied Volatility in Agricultural Futures,2005,Journal of Ag & Applied Econ,ARTICLE,cereals,1980_2010,US,none,none,none,en,academic,none,none,MEDIUM,NEEDED,Vol transmission,https://annas-archive.org/search?q=Garcia+Estimated+and+Implied+Volatility+in+Agricultural+Futures,https://archive.org/search?query=Garcia+Estimated+and+Implied+Volatility+in+Agricultural+Futures,,Garcia Estimated and Implied Volatility in Agricultural Futures,False,v2
13,Ag Econ Foundations,hedging_storage,Williams,Jeffrey C.,Storage and Commodity Markets,1991,Cambridge UP,BOOK,none,1980_2010,US,none,none,none,en,academic,none,none,HIGH,NEEDED,With Wright; storage-theory treatise,https://annas-archive.org/search?q=Williams+Storage+and+Commodity+Markets,https://archive.org/search?query=Williams+Storage+and+Commodity+Markets,,Williams Storage and Commodity Markets,False,v2
14,Ag Econ Foundations,hedging_storage,Pirrong,Craig,Commodity Price Dynamics: A Structural Approach,2011,Cambridge UP,BOOK,none,2010_2020,US,none,none,none,en,academic,none,none,MEDIUM,NEEDED,Modern commodity pricing,https://annas-archive.org/search?q=Pirrong+Commodity+Price+Dynamics%3A+A+Structural+Approach,https://archive.org/search?query=Pirrong+Commodity+Price+Dynamics%3A+A+Structural+Approach,,Pirrong Commodity Price Dynamics: A Structural Approach,False,v2
15,Ag Econ Foundations,market_structure,Sexton,Richard J.,"Market Power, Misconceptions, and Modern Agricultural Markets",2013,AJAE,ARTICLE,multi,2010_2020,US,none,none,none,en,academic,none,none,HIGH,NEEDED,Presidential address,https://annas-archive.org/search?q=Sexton+Market+Power%2C+Misconceptions%2C+and+Modern+Agricultural+Markets,https://archive.org/search?query=Sexton+Market+Power%2C+Misconceptions%2C+and+Modern+Agricultural+Markets,https://doi.org/10.1093/ajae/aas102,"Sexton Market Power, Misconceptions, and Modern Agricultural Markets",False,v2
16,Ag Econ Foundations,market_structure,MacDonald,James M.,Concentration and Competition in U.S. Agribusiness,2017,USDA ERS EIB-175,REPORT,multi,2010_2020,US,none,none,none,en,academic,none,none,HIGH,NEEDED,Comprehensive concentration survey,https://annas-archive.org/search?q=MacDonald+Concentration+and+Competition+in+U.S.+Agribusiness,https://archive.org/search?query=MacDonald+Concentration+and+Competition+in+U.S.+Agribusiness,https://www.ers.usda.gov/publications/pub-details/?pubid=84417,MacDonald Concentration and Competition in U.S. Agribusiness,False,v2
17,Ag Econ Foundations,price_theory,Just,Richard E.,The Welfare Economics of Public Policy,2004,Edward Elgar,BOOK,none,1980_2010,US,none,none,none,en,academic,none,none,MEDIUM,NEEDED,"With Hueth, Schmitz; welfare tools",https://annas-archive.org/search?q=Just+The+Welfare+Economics+of+Public+Policy,https://archive.org/search?query=Just+The+Welfare+Economics+of+Public+Policy,,Just The Welfare Economics of Public Policy,False,v2
18,Ag Econ Foundations,price_theory,Timmer,C. Peter,Food Policy Analysis,1983,Johns Hopkins (World Bank),BOOK,none,1980_2010,US_Global,none,none,none,en,academic,none,none,HIGH,NEEDED,"With Falcon, Pearson; classic food policy text",https://annas-archive.org/search?q=Timmer+Food+Policy+Analysis,https://archive.org/search?query=Timmer+Food+Policy+Analysis,,Timmer Food Policy Analysis,False,v2
19,Ag Econ Foundations,price_theory,Norton,George W.,Economics of Agricultural Development,2015,Routledge,BOOK,none,2010_2020,US_Global,none,none,none,en,academic,none,none,MEDIUM,NEEDED,"With Alwang, Masters; 3rd ed",https://annas-archive.org/search?q=Norton+Economics+of+Agricultural+Development,https://archive.org/search?query=Norton+Economics+of+Agricultural+Development,,Norton Economics of Agricultural Development,False,v2
20,Ag Econ Foundations,supply_response,Muth,John F.,Rational Expectations and the Theory of Price Movements,1961,Econometrica,ARTICLE,none,1945_1980,US,none,none,none,en,academic,none,none,HIGH,NEEDED,Motivated by hog-cycle problem,https://annas-archive.org/search?q=Muth+Rational+Expectations+and+the+Theory+of+Price+Movements,https://archive.org/search?query=Muth+Rational+Expectations+and+the+Theory+of+Price+Movements,https://www.jstor.org/stable/1909635,Muth Rational Expectations and the Theory of Price Movements,False,v2
21,Ag Econ Foundations,futures_markets,Hull,John C.,"Options, Futures, and Other Derivatives",2021,Pearson,BOOK,none,2010_2020,US,none,none,none,en,academic,none,none,LOW,NEEDED,Reference derivative text,https://annas-archive.org/search?q=Hull+Options%2C+Futures%2C+and+Other+Derivatives,https://archive.org/search?query=Hull+Options%2C+Futures%2C+and+Other+Derivatives,,"Hull Options, Futures, and Other Derivatives",False,v2
22,Ag Econ Foundations,futures_markets,Geman,Helyette,Commodities and Commodity Derivatives,2005,Wiley,BOOK,none,1980_2010,Global,none,none,none,en,academic,none,none,LOW,NEEDED,Quant reference,https://annas-archive.org/search?q=Geman+Commodities+and+Commodity+Derivatives,https://archive.org/search?query=Geman+Commodities+and+Commodity+Derivatives,,Geman Commodities and Commodity Derivatives,False,v2
23,Ag Econ Foundations,hedging_storage,Working,Holbrook,Futures Trading and Hedging,1953,American Economic Review,ARTICLE,none,1945_1980,US,none,none,none,en,academic,none,none,MEDIUM,NEEDED,Working's hedging-pressure theory,https://annas-archive.org/search?q=Working+Futures+Trading+and+Hedging,https://archive.org/search?query=Working+Futures+Trading+and+Hedging,https://www.jstor.org/stable/1812835,Working Futures Trading and Hedging,False,v2
24,Ag Econ Foundations,market_structure,Bain,Joe S.,Industrial Organization,1968,Wiley,BOOK,none,1945_1980,US,none,none,none,en,academic,none,none,LOW,NEEDED,Classic IO text; SCP paradigm,https://annas-archive.org/search?q=Bain+Industrial+Organization,https://archive.org/search?query=Bain+Industrial+Organization,,Bain Industrial Organization,False,v2
25,Ag Econ Foundations,price_theory,Barrett,Christopher B.,Displaced Distortions: Financial Market Failures and Seemingly Inefficient Resource Allocation,2008,Ag Econ,ARTICLE,none,1980_2010,Global,none,none,none,en,academic,none,none,MEDIUM,NEEDED,Credit-constrained farmer decisions,https://annas-archive.org/search?q=Barrett+Displaced+Distortions%3A+Financial+Market+Failures+and+Seemingly+Inefficient+Resource+Allocation,https://archive.org/search?query=Barrett+Displaced+Distortions%3A+Financial+Market+Failures+and+Seemingly+Inefficient+Resource+Allocation,,Barrett Displaced Distortions: Financial Market Failures and Seemingly Inefficient Resource Allocation,False,v2
26,Ag Econ Foundations,supply_response,Askari,Hossein,Estimating Agricultural Supply Response with the Nerlove Model,1977,International Economic Review,ARTICLE,none,1945_1980,Global,none,none,none,en,academic,none,none,LOW,NEEDED,Methodological note,https://annas-archive.org/search?q=Askari+Estimating+Agricultural+Supply+Response+with+the+Nerlove+Model,https://archive.org/search?query=Askari+Estimating+Agricultural+Supply+Response+with+the+Nerlove+Model,,Askari Estimating Agricultural Supply Response with the Nerlove Model,False,v2
27,Ag Econ Foundations,futures_markets,Pindyck,Robert S.,The Dynamics of Commodity Spot and Futures Markets: A Primer,2001,Energy Journal,ARTICLE,none,1980_2010,Global,none,none,none,en,academic,none,none,MEDIUM,NEEDED,Convenient survey,https://annas-archive.org/search?q=Pindyck+The+Dynamics+of+Commodity+Spot+and+Futures+Markets%3A+A+Primer,https://archive.org/search?query=Pindyck+The+Dynamics+of+Commodity+Spot+and+Futures+Markets%3A+A+Primer,,Pindyck The Dynamics of Commodity Spot and Futures Markets: A Primer,False,v2
28,Ag Econ Foundations,price_theory,Myers,Robert J.,On the Costs of Food Price Fluctuations in Low-Income Countries,2006,Food Policy,ARTICLE,none,1980_2010,Global,none,none,none,en,academic,none,none,MEDIUM,NEEDED,Welfare costs of volatility,https://annas-archive.org/search?q=Myers+On+the+Costs+of+Food+Price+Fluctuations+in+Low-Income+Countries,https://archive.org/search?query=Myers+On+the+Costs+of+Food+Price+Fluctuations+in+Low-Income+Countries,,Myers On the Costs of Food Price Fluctuations in Low-Income Countries,False,v2
29,Ag Econ Foundations,market_structure,Hendrickson,Mary,Consolidation in the Food and Agriculture System,2001,U Missouri,REPORT,multi,1980_2010,US,none,none,none,en,academic,none,none,MEDIUM,NEEDED,Heffernan report tradition,https://annas-archive.org/search?q=Hendrickson+Consolidation+in+the+Food+and+Agriculture+System,https://archive.org/search?query=Hendrickson+Consolidation+in+the+Food+and+Agriculture+System,,Hendrickson Consolidation in the Food and Agriculture System,False,v2
30,Ag Econ Foundations,price_theory,Johnson,D. Gale,World Agriculture in Disarray,1973,Fontana,BOOK,none,1945_1980,Global,none,none,none,en,academic,none,none,HIGH,NEEDED,Classic critique of trade-distorting policy,https://annas-archive.org/search?q=Johnson+World+Agriculture+in+Disarray,https://archive.org/search?query=Johnson+World+Agriculture+in+Disarray,,Johnson World Agriculture in Disarray,False,v2
31,US Commodity Policy,farm_bills,Imhoff,Daniel,The Farm Bill: A Citizen's Guide,2019,Island Press,BOOK,multi,2010_2020,US,none,none,none,en,academic,none,none,FLAGSHIP,NEEDED,Most accessible Farm Bill primer,https://annas-archive.org/search?q=Imhoff+The+Farm+Bill%3A+A+Citizen%27s+Guide,https://archive.org/search?query=Imhoff+The+Farm+Bill%3A+A+Citizen%27s+Guide,,Imhoff The Farm Bill: A Citizen's Guide,False,v2
32,US Commodity Policy,farm_bills,Hanrahan,Charles,The 2018 Farm Bill: Summary and Side-by-Side Comparison,2019,CRS Report R45525,REPORT,multi,2010_2020,US,none,none,none,en,academic,none,none,HIGH,NEEDED,Congressional Research Service,https://annas-archive.org/search?q=Hanrahan+The+2018+Farm+Bill%3A+Summary+and+Side-by-Side+Comparison,https://archive.org/search?query=Hanrahan+The+2018+Farm+Bill%3A+Summary+and+Side-by-Side+Comparison,https://crsreports.congress.gov/product/pdf/R/R45525,Hanrahan The 2018 Farm Bill: Summary and Side-by-Side Comparison,False,v2
33,US Commodity Policy,farm_bills,Schnepf,Randy,U.S. Farm Policy: History and Recent Trends,2019,CRS Report,REPORT,multi,2010_2020,US,none,none,none,en,academic,none,none,HIGH,NEEDED,Historical context of programs,https://annas-archive.org/search?q=Schnepf+U.S.+Farm+Policy%3A+History+and+Recent+Trends,https://archive.org/search?query=Schnepf+U.S.+Farm+Policy%3A+History+and+Recent+Trends,https://crsreports.congress.gov/product/pdf/R/R45525,Schnepf U.S. Farm Policy: History and Recent Trends,False,v2
34,US Commodity Policy,farm_bills,Bowers,Douglas E.,"History of Agricultural Price-Support and Adjustment Programs, 1933-84",1984,USDA ERS AIB-485,REPORT,multi,spanning,US,none,none,none,en,academic,none,none,HIGH,NEEDED,Gardner co-author; historical reference,https://annas-archive.org/search?q=Bowers+History+of+Agricultural+Price-Support+and+Adjustment+Programs%2C+1933-84,https://archive.org/search?query=Bowers+History+of+Agricultural+Price-Support+and+Adjustment+Programs%2C+1933-84,,"Bowers History of Agricultural Price-Support and Adjustment Programs, 1933-84",False,v2
35,US Commodity Policy,subsidies_supports,Gardner,Bruce L.,American Agriculture in the Twentieth Century: How It Flourished and What It Cost,2002,Harvard UP,BOOK,multi,spanning,US,none,none,none,en,academic,none,none,CRITICAL,NEEDED,Definitive 20c US ag history,https://annas-archive.org/search?q=Gardner+American+Agriculture+in+the+Twentieth+Century%3A+How+It+Flourished+and+What+It+Cost,https://archive.org/search?query=Gardner+American+Agriculture+in+the+Twentieth+Century%3A+How+It+Flourished+and+What+It+Cost,,Gardner American Agriculture in the Twentieth Century: How It Flourished and What It Cost,False,v2
36,US Commodity Policy,subsidies_supports,Orden,David,Policy Reform in American Agriculture,1999,U Chicago Press,BOOK,multi,1980_2010,US,none,none,none,en,academic,none,none,HIGH,NEEDED,"With Paarlberg, Roe; FAIR Act analysis",https://annas-archive.org/search?q=Orden+Policy+Reform+in+American+Agriculture,https://archive.org/search?query=Orden+Policy+Reform+in+American+Agriculture,,Orden Policy Reform in American Agriculture,False,v2
37,US Commodity Policy,subsidies_supports,Sumner,Daniel A.,Economic Analysis of U.S. Cotton Subsidy Programs,2006,AJAE,ARTICLE,none,1980_2010,US,none,none,none,en,academic,none,none,MEDIUM,NEEDED,WTO case context,https://annas-archive.org/search?q=Sumner+Economic+Analysis+of+U.S.+Cotton+Subsidy+Programs,https://archive.org/search?query=Sumner+Economic+Analysis+of+U.S.+Cotton+Subsidy+Programs,,Sumner Economic Analysis of U.S. Cotton Subsidy Programs,False,v2
38,US Commodity Policy,biofuels_policy,Tyner,Wallace E.,The Integration of Energy and Agricultural Markets,2010,Ag Econ,ARTICLE,cereals,2010_2020,US,none,none,none,en,academic,none,none,HIGH,NEEDED,Corn-ethanol market linkage,https://annas-archive.org/search?q=Tyner+The+Integration+of+Energy+and+Agricultural+Markets,https://archive.org/search?query=Tyner+The+Integration+of+Energy+and+Agricultural+Markets,,Tyner The Integration of Energy and Agricultural Markets,False,v2
39,US Commodity Policy,biofuels_policy,Carter,Colin A.,The Effect of the U.S. Ethanol Mandate on Corn Prices,2017,Ag Econ,ARTICLE,cereals,2010_2020,US,none,none,none,en,academic,none,none,CRITICAL,NEEDED,"With Rausser, Smith",https://annas-archive.org/search?q=Carter+The+Effect+of+the+U.S.+Ethanol+Mandate+on+Corn+Prices,https://archive.org/search?query=Carter+The+Effect+of+the+U.S.+Ethanol+Mandate+on+Corn+Prices,https://doi.org/10.1111/agec.12316,Carter The Effect of the U.S. Ethanol Mandate on Corn Prices,False,v2
40,US Commodity Policy,biofuels_policy,Babcock,Bruce A.,The Impact of US Biofuel Policies on Agricultural Price Levels and Volatility,2011,ICTSD Issue Paper,REPORT,cereals,2010_2020,US,none,none,none,en,academic,none,none,HIGH,NEEDED,Volatility focus,https://annas-archive.org/search?q=Babcock+The+Impact+of+US+Biofuel+Policies+on+Agricultural+Price+Levels+and+Volatility,https://archive.org/search?query=Babcock+The+Impact+of+US+Biofuel+Policies+on+Agricultural+Price+Levels+and+Volatility,,Babcock The Impact of US Biofuel Policies on Agricultural Price Levels and Volatility,False,v2
41,US Commodity Policy,biofuels_policy,Schnepf,Randy,Renewable Fuel Standard (RFS): An Overview,2019,CRS Report R43325,REPORT,cereals,2010_2020,US,none,none,none,en,academic,none,none,HIGH,NEEDED,RFS policy primer,https://annas-archive.org/search?q=Schnepf+Renewable+Fuel+Standard+%28RFS%29%3A+An+Overview,https://archive.org/search?query=Schnepf+Renewable+Fuel+Standard+%28RFS%29%3A+An+Overview,https://crsreports.congress.gov/product/pdf/R/R43325,Schnepf Renewable Fuel Standard (RFS): An Overview,False,v2
42,US Commodity Policy,sugar_dairy_policy,Beghin,John C.,The Cost of the US Sugar Program Revisited,2017,Applied Econ Perspectives & Policy,ARTICLE,sugar,2010_2020,US,none,none,none,en,academic,none,none,HIGH,NEEDED,Welfare cost updates,https://annas-archive.org/search?q=Beghin+The+Cost+of+the+US+Sugar+Program+Revisited,https://archive.org/search?query=Beghin+The+Cost+of+the+US+Sugar+Program+Revisited,,Beghin The Cost of the US Sugar Program Revisited,False,v2
43,US Commodity Policy,sugar_dairy_policy,Schnepf,Randy,U.S. Sugar Program Fundamentals,2018,CRS Report R44347,REPORT,sugar,2010_2020,US,none,none,none,en,academic,none,none,HIGH,NEEDED,Tariff-rate quota mechanics,https://annas-archive.org/search?q=Schnepf+U.S.+Sugar+Program+Fundamentals,https://archive.org/search?query=Schnepf+U.S.+Sugar+Program+Fundamentals,https://crsreports.congress.gov/product/pdf/R/R44347,Schnepf U.S. Sugar Program Fundamentals,False,v2
44,US Commodity Policy,sugar_dairy_policy,Cessna,Jerry,The Dairy Margin Protection Program,2019,USDA ERS,REPORT,dairy,2010_2020,US,none,none,none,en,academic,none,none,MEDIUM,NEEDED,DMC program analysis,https://annas-archive.org/search?q=Cessna+The+Dairy+Margin+Protection+Program,https://archive.org/search?query=Cessna+The+Dairy+Margin+Protection+Program,,Cessna The Dairy Margin Protection Program,False,v2
45,US Commodity Policy,sugar_dairy_policy,Manchester,Alden C.,The Public Role in the Dairy Economy,1983,Westview,BOOK,dairy,1980_2010,US,none,none,none,en,academic,none,none,MEDIUM,NEEDED,Foundational FMMO history,https://annas-archive.org/search?q=Manchester+The+Public+Role+in+the+Dairy+Economy,https://archive.org/search?query=Manchester+The+Public+Role+in+the+Dairy+Economy,,Manchester The Public Role in the Dairy Economy,False,v2
46,US Commodity Policy,conservation_policy,Claassen,Roger,Grassland to Cropland Conversion in the Northern Plains,2011,USDA ERS ERR-120,REPORT,none,2010_2020,US,none,none,none,en,academic,none,none,LOW,NEEDED,CRP & land-use,https://annas-archive.org/search?q=Claassen+Grassland+to+Cropland+Conversion+in+the+Northern+Plains,https://archive.org/search?query=Claassen+Grassland+to+Cropland+Conversion+in+the+Northern+Plains,https://www.ers.usda.gov/publications,Claassen Grassland to Cropland Conversion in the Northern Plains,False,v2
47,US Commodity Policy,farm_bills,Schnepf,Randy,Agriculture and the 2014 Farm Bill,2014,CRS,REPORT,multi,2010_2020,US,none,none,none,en,academic,none,none,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Schnepf+Agriculture+and+the+2014+Farm+Bill,https://archive.org/search?query=Schnepf+Agriculture+and+the+2014+Farm+Bill,,Schnepf Agriculture and the 2014 Farm Bill,False,v2
48,US Commodity Policy,subsidies_supports,Glauber,Joseph W.,The Growth of the Federal Crop Insurance Program,2013,AJAE,ARTICLE,multi,2010_2020,US,none,none,none,en,academic,none,none,HIGH,NEEDED,Crop insurance expansion,https://annas-archive.org/search?q=Glauber+The+Growth+of+the+Federal+Crop+Insurance+Program,https://archive.org/search?query=Glauber+The+Growth+of+the+Federal+Crop+Insurance+Program,,Glauber The Growth of the Federal Crop Insurance Program,False,v2
49,US Commodity Policy,subsidies_supports,Smith,Vincent H.,Agricultural Subsidies in the WTO Green Box,2009,Cambridge UP,BOOK,multi,1980_2010,US_Global,none,none,none,en,academic,none,none,MEDIUM,NEEDED,"With Meléndez-Ortiz, Bellmann",https://annas-archive.org/search?q=Smith+Agricultural+Subsidies+in+the+WTO+Green+Box,https://archive.org/search?query=Smith+Agricultural+Subsidies+in+the+WTO+Green+Box,,Smith Agricultural Subsidies in the WTO Green Box,False,v2
50,US Commodity Policy,biofuels_policy,de Gorter,Harry,The Economics of Biofuel Policies,2015,Palgrave,BOOK,cereals,2010_2020,US_Global,none,none,none,en,academic,none,none,MEDIUM,NEEDED,"With Drabik, Just",https://annas-archive.org/search?q=de+Gorter+The+Economics+of+Biofuel+Policies,https://archive.org/search?query=de+Gorter+The+Economics+of+Biofuel+Policies,,de Gorter The Economics of Biofuel Policies,False,v2
51,US Commodity Policy,biofuels_policy,Hochman,Gal,Corn Ethanol and U.S. Biofuel Policy 10 Years Later,2018,Applied Econ Perspectives & Policy,ARTICLE,cereals,2010_2020,US,none,none,none,en,academic,none,none,MEDIUM,NEEDED,Retrospective,https://annas-archive.org/search?q=Hochman+Corn+Ethanol+and+U.S.+Biofuel+Policy+10+Years+Later,https://archive.org/search?query=Hochman+Corn+Ethanol+and+U.S.+Biofuel+Policy+10+Years+Later,,Hochman Corn Ethanol and U.S. Biofuel Policy 10 Years Later,False,v2
52,US Commodity Policy,sugar_dairy_policy,Bryant,Henry,US Sugar Import Policy,2014,Choices Magazine,ARTICLE,sugar,2010_2020,US,none,none,none,en,academic,none,none,MEDIUM,NEEDED,Accessible overview,https://annas-archive.org/search?q=Bryant+US+Sugar+Import+Policy,https://archive.org/search?query=Bryant+US+Sugar+Import+Policy,https://www.choicesmagazine.org/,Bryant US Sugar Import Policy,False,v2
53,US Commodity Policy,conservation_policy,Hellerstein,Daniel,The Conservation Reserve Program: 30 Years of Soil Conservation,2017,USDA ERS EIB-169,REPORT,none,2010_2020,US,none,none,none,en,academic,none,none,LOW,NEEDED,CRP land-supply effects,https://annas-archive.org/search?q=Hellerstein+The+Conservation+Reserve+Program%3A+30+Years+of+Soil+Conservation,https://archive.org/search?query=Hellerstein+The+Conservation+Reserve+Program%3A+30+Years+of+Soil+Conservation,https://www.ers.usda.gov/publications/pub-details/?pubid=83915,Hellerstein The Conservation Reserve Program: 30 Years of Soil Conservation,False,v2
54,US Commodity Policy,farm_bills,Coppess,Jonathan W.,The Fault Lines of Farm Policy: A History of the Farm Bill,2018,U Nebraska Press,BOOK,multi,2010_2020,US,none,none,none,en,academic,none,none,HIGH,NEEDED,Political-history approach,https://annas-archive.org/search?q=Coppess+The+Fault+Lines+of+Farm+Policy%3A+A+History+of+the+Farm+Bill,https://archive.org/search?query=Coppess+The+Fault+Lines+of+Farm+Policy%3A+A+History+of+the+Farm+Bill,,Coppess The Fault Lines of Farm Policy: A History of the Farm Bill,False,v2
55,US Commodity Policy,subsidies_supports,Paarlberg,Robert,Food Politics: What Everyone Needs to Know,2020,Oxford UP,BOOK,multi,2010_2020,US,none,none,none,en,academic,none,none,HIGH,NEEDED,3rd ed.; accessible,https://annas-archive.org/search?q=Paarlberg+Food+Politics%3A+What+Everyone+Needs+to+Know,https://archive.org/search?query=Paarlberg+Food+Politics%3A+What+Everyone+Needs+to+Know,,Paarlberg Food Politics: What Everyone Needs to Know,False,v2
56,US Commodity Policy,biofuels_policy,Tyner,Wallace E.,"The US Ethanol and Biofuels Boom: Its Origins, Current Status, and Future Prospects",2008,BioScience,ARTICLE,cereals,2010_2020,US,none,none,none,en,academic,none,none,MEDIUM,NEEDED,Early retrospective,https://annas-archive.org/search?q=Tyner+The+US+Ethanol+and+Biofuels+Boom%3A+Its+Origins%2C+Current+Status%2C+and+Future+Prospects,https://archive.org/search?query=Tyner+The+US+Ethanol+and+Biofuels+Boom%3A+Its+Origins%2C+Current+Status%2C+and+Future+Prospects,,"Tyner The US Ethanol and Biofuels Boom: Its Origins, Current Status, and Future Prospects",False,v2
57,US Commodity Policy,sugar_dairy_policy,Bozic,Marin,Price Discovery in Federal Milk Marketing Orders,2012,AJAE,ARTICLE,dairy,1980_2010,US,none,none,none,en,academic,none,none,LOW,NEEDED,FMMO mechanics,https://annas-archive.org/search?q=Bozic+Price+Discovery+in+Federal+Milk+Marketing+Orders,https://archive.org/search?query=Bozic+Price+Discovery+in+Federal+Milk+Marketing+Orders,,Bozic Price Discovery in Federal Milk Marketing Orders,False,v2
