id,food_item,price,unit,store_type,location,state,country,date,source,brand,quality_grade,imported_at
54,spinach,2.26,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950584
55,strawberry,2.52,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950585
57,sugar,3.07,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950587
56,sugar-white,2.85,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950586
58,sunflower-oil,2.16,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950588
59,tea,2.82,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950589
60,tomato,2.16,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950590
61,tomatoes,2.28,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950592
62,truffle,2.15,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950593
63,tuna,2.89,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950594
64,turkey,2.73,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950595
65,vanilla,2.63,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950596
66,vegetable-oil,2.53,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950597
67,walnut,2.8,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950598
68,wheat,2.19,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950599
69,whey,2.86,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950600
70,yeast,2.77,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950601
